N,Densidade,Estrutura,Operacao,Tempo,Memoria
1000,10.0,Est. 2 - Heap,Transposta,4.76837158203125e-07,0
1000,10.0,Est. 2 - Heap,Soma,1.3450710773468018,0
1000,10.0,Est. 2 - Heap,Mult Escalar,0.6373047828674316,0
1000,10.0,Est. 2 - Heap,Mult Matriz,9.299070358276367,0
1000,20.0,Tradicional,Uso de Memória,0.0,8864856
1000,20.0,Tradicional,Acessar Elemento,1.3113021850585938e-05,0
1000,20.0,Tradicional,Inserir Elemento,6.4373016357421875e-06,0
1000,20.0,Tradicional,Transposta,0.06548595428466797,0
1000,20.0,Tradicional,Soma,0.08295130729675293,0
1000,20.0,Tradicional,Mult Escalar,0.06339025497436523,0
1000,20.0,Tradicional,Mult Matriz,0.0,0
1000,20.0,Est. 1 - Hash,Uso de Memória,0.0,26585328
1000,20.0,Est. 1 - Hash,Acessar Elemento,1.5735626220703125e-05,0
1000,20.0,Est. 1 - Hash,Inserir Elemento,1.7881393432617188e-05,0
1000,20.0,Est. 1 - Hash,Transposta,0.08200311660766602,0
1000,20.0,Est. 1 - Hash,Soma,1.1532645225524902,0
1000,20.0,Est. 1 - Hash,Mult Escalar,0.5485644340515137,0
1000,20.0,Est. 1 - Hash,Mult Matriz,1230.490980386734,0
1000,20.0,Est. 2 - Heap,Uso de Memória,0.0,12800000
1000,20.0,Est. 2 - Heap,Acessar Elemento,0.010004043579101562,0
1000,20.0,Est. 2 - Heap,Inserir Elemento,0.007587432861328125,0
1000,20.0,Est. 2 - Heap,Transposta,7.152557373046875e-07,0
1000,20.0,Est. 2 - Heap,Soma,4.195435285568237,0
1000,20.0,Est. 2 - Heap,Mult Escalar,2.130634307861328,0
1000,20.0,Est. 2 - Heap,Mult Matriz,20.5903263092041,0
10000,1e-06,Tradicional,Uso de Memória,0.0,851845176
10000,1e-06,Tradicional,Acessar Elemento,0.0001666545867919922,0
10000,1e-06,Tradicional,Inserir Elemento,2.8371810913085938e-05,0
10000,1e-06,Tradicional,Transposta,10.140917778015137,0
10000,1e-06,Tradicional,Soma,9.311306715011597,0
10000,1e-06,Tradicional,Mult Escalar,7.756793737411499,0
10000,1e-06,Tradicional,Mult Matriz,0.0,0
10000,1e-06,Est. 1 - Hash,Uso de Memória,0.0,276
10000,1e-06,Est. 1 - Hash,Acessar Elemento,1.8835067749023438e-05,0
10000,1e-06,Est. 1 - Hash,Inserir Elemento,1.8596649169921875e-05,0
10000,1e-06,Est. 1 - Hash,Transposta,1.8835067749023438e-05,0
10000,1e-06,Est. 1 - Hash,Soma,2.8133392333984375e-05,0
10000,1e-06,Est. 1 - Hash,Mult Escalar,1.9311904907226562e-05,0
10000,1e-06,Est. 1 - Hash,Mult Matriz,0.0121917724609375,0
10000,1e-06,Est. 2 - Heap,Uso de Memória,0.0,64
10000,1e-06,Est. 2 - Heap,Acessar Elemento,6.4373016357421875e-06,0
10000,1e-06,Est. 2 - Heap,Inserir Elemento,2.8371810913085938e-05,0
10000,1e-06,Est. 2 - Heap,Transposta,1.1920928955078125e-06,0
10000,1e-06,Est. 2 - Heap,Soma,3.981590270996094e-05,0
10000,1e-06,Est. 2 - Heap,Mult Escalar,2.384185791015625e-05,0
10000,1e-06,Est. 2 - Heap,Mult Matriz,6.198883056640625e-06,0
10000,1e-05,Tradicional,Uso de Memória,0.0,851845176
10000,1e-05,Tradicional,Acessar Elemento,1.239776611328125e-05,0
10000,1e-05,Tradicional,Inserir Elemento,4.5299530029296875e-06,0
10000,1e-05,Tradicional,Transposta,9.588939666748047,0
10000,1e-05,Tradicional,Soma,9.009767055511475,0
10000,1e-05,Tradicional,Mult Escalar,7.204887390136719,0
10000,1e-05,Tradicional,Mult Matriz,0.0,0
10000,1e-05,Est. 1 - Hash,Uso de Memória,0.0,1496
10000,1e-05,Est. 1 - Hash,Acessar Elemento,1.9550323486328125e-05,0
10000,1e-05,Est. 1 - Hash,Inserir Elemento,1.5974044799804688e-05,0
10000,1e-05,Est. 1 - Hash,Transposta,1.049041748046875e-05,0
10000,1e-05,Est. 1 - Hash,Soma,3.838539123535156e-05,0
10000,1e-05,Est. 1 - Hash,Mult Escalar,2.4557113647460938e-05,0
10000,1e-05,Est. 1 - Hash,Mult Matriz,2.5987625122070312e-05,0
10000,1e-05,Est. 2 - Heap,Uso de Memória,0.0,640
10000,1e-05,Est. 2 - Heap,Acessar Elemento,1.0728836059570312e-05,0
10000,1e-05,Est. 2 - Heap,Inserir Elemento,3.4809112548828125e-05,0
10000,1e-05,Est. 2 - Heap,Transposta,4.76837158203125e-07,0
10000,1e-05,Est. 2 - Heap,Soma,9.918212890625e-05,0
10000,1e-05,Est. 2 - Heap,Mult Escalar,5.078315734863281e-05,0
10000,1e-05,Est. 2 - Heap,Mult Matriz,1.1444091796875e-05,0
10000,0.0001,Tradicional,Uso de Memória,0.0,851845176
10000,0.0001,Tradicional,Acessar Elemento,1.4543533325195312e-05,0
10000,0.0001,Tradicional,Inserir Elemento,5.9604644775390625e-06,0
10000,0.0001,Tradicional,Transposta,10.448115825653076,0
10000,0.0001,Tradicional,Soma,8.464349746704102,0
10000,0.0001,Tradicional,Mult Escalar,7.337358236312866,0
10000,0.0001,Tradicional,Mult Matriz,0.0,0
10000,0.0001,Est. 1 - Hash,Uso de Memória,0.0,13312
10000,0.0001,Est. 1 - Hash,Acessar Elemento,2.1219253540039062e-05,0
10000,0.0001,Est. 1 - Hash,Inserir Elemento,1.811981201171875e-05,0
10000,0.0001,Est. 1 - Hash,Transposta,4.029273986816406e-05,0
10000,0.0001,Est. 1 - Hash,Soma,0.00028061866760253906,0
10000,0.0001,Est. 1 - Hash,Mult Escalar,0.00011181831359863281,0
10000,0.0001,Est. 1 - Hash,Mult Matriz,8.630752563476562e-05,0
10000,0.0001,Est. 2 - Heap,Uso de Memória,0.0,6400
10000,0.0001,Est. 2 - Heap,Acessar Elemento,1.7642974853515625e-05,0
10000,0.0001,Est. 2 - Heap,Inserir Elemento,4.363059997558594e-05,0
10000,0.0001,Est. 2 - Heap,Transposta,4.76837158203125e-07,0
10000,0.0001,Est. 2 - Heap,Soma,0.0008137226104736328,0
10000,0.0001,Est. 2 - Heap,Mult Escalar,0.00036215782165527344,0
10000,0.0001,Est. 2 - Heap,Mult Matriz,9.107589721679688e-05,0
100000,1e-07,Est. 1 - Hash,Uso de Memória,0.0,1396
100000,1e-07,Est. 1 - Hash,Acessar Elemento,2.8371810913085938e-05,0
100000,1e-07,Est. 1 - Hash,Inserir Elemento,1.3589859008789062e-05,0
100000,1e-07,Est. 1 - Hash,Transposta,1.7642974853515625e-05,0
100000,1e-07,Est. 1 - Hash,Soma,4.553794860839844e-05,0
100000,1e-07,Est. 1 - Hash,Mult Escalar,5.6743621826171875e-05,0
100000,1e-07,Est. 1 - Hash,Mult Matriz,0.0008046627044677734,0
100000,1e-07,Est. 2 - Heap,Uso de Memória,0.0,576
100000,1e-07,Est. 2 - Heap,Acessar Elemento,1.7642974853515625e-05,0
100000,1e-07,Est. 2 - Heap,Inserir Elemento,2.4080276489257812e-05,0
100000,1e-07,Est. 2 - Heap,Transposta,4.76837158203125e-07,0
100000,1e-07,Est. 2 - Heap,Soma,0.0001308917999267578,0
100000,1e-07,Est. 2 - Heap,Mult Escalar,4.839897155761719e-05,0
100000,1e-07,Est. 2 - Heap,Mult Matriz,2.193450927734375e-05,0
100000,1e-06,Est. 1 - Hash,Uso de Memória,0.0,13312
100000,1e-06,Est. 1 - Hash,Acessar Elemento,4.076957702636719e-05,0
100000,1e-06,Est. 1 - Hash,Inserir Elemento,1.3589859008789062e-05,0
100000,1e-06,Est. 1 - Hash,Transposta,3.266334533691406e-05,0
100000,1e-06,Est. 1 - Hash,Soma,0.0004973411560058594,0
100000,1e-06,Est. 1 - Hash,Mult Escalar,0.0001621246337890625,0
100000,1e-06,Est. 1 - Hash,Mult Matriz,0.0010344982147216797,0
100000,1e-06,Est. 2 - Heap,Uso de Memória,0.0,6400
100000,1e-06,Est. 2 - Heap,Acessar Elemento,4.2438507080078125e-05,0
100000,1e-06,Est. 2 - Heap,Inserir Elemento,4.4345855712890625e-05,0
100000,1e-06,Est. 2 - Heap,Transposta,4.76837158203125e-07,0
100000,1e-06,Est. 2 - Heap,Soma,0.001577615737915039,0
100000,1e-06,Est. 2 - Heap,Mult Escalar,0.0004169940948486328,0
100000,1e-06,Est. 2 - Heap,Mult Matriz,0.00026988983154296875,0
100000,1e-05,Est. 1 - Hash,Uso de Memória,0.0,132368
100000,1e-05,Est. 1 - Hash,Acessar Elemento,2.288818359375e-05,0
100000,1e-05,Est. 1 - Hash,Inserir Elemento,1.1682510375976562e-05,0
100000,1e-05,Est. 1 - Hash,Transposta,0.000247955322265625,0
100000,1e-05,Est. 1 - Hash,Soma,0.004255533218383789,0
100000,1e-05,Est. 1 - Hash,Mult Escalar,0.0013048648834228516,0
100000,1e-05,Est. 1 - Hash,Mult Matriz,0.0018062591552734375,0
100000,1e-05,Est. 2 - Heap,Uso de Memória,0.0,64000
100000,1e-05,Est. 2 - Heap,Acessar Elemento,3.62396240234375e-05,0
100000,1e-05,Est. 2 - Heap,Inserir Elemento,6.198883056640625e-05,0
100000,1e-05,Est. 2 - Heap,Transposta,7.152557373046875e-07,0
100000,1e-05,Est. 2 - Heap,Soma,0.009343385696411133,0
100000,1e-05,Est. 2 - Heap,Mult Escalar,0.004227161407470703,0
100000,1e-05,Est. 2 - Heap,Mult Matriz,0.0004978179931640625,0
